open,high,low,close,volume,quote_volume,trades,close_datetime
63119.33,63188.1,63056.83,63110.02,266.52326,16820411.3316721,23615,2024-07-01 19:14:59.999000+02:00
63110.02,63380.0,63093.4,63339.77,238.76572,15089246.6490071,12543,2024-07-01 19:29:59.999000+02:00
63339.77,63618.0,63279.99,63604.0,476.26222,30230468.2187203,23440,2024-07-01 19:44:59.999000+02:00
63604.01,63697.66,63510.42,63697.66,380.20721,24185146.8625973,18740,2024-07-01 19:59:59.999000+02:00
63697.66,63743.2,63576.0,63648.87,382.56046,24359309.2803188,18926,2024-07-01 20:14:59.999000+02:00
63648.87,63861.76,63438.45,63520.5,615.14183,39191208.4003864,26070,2024-07-01 20:29:59.999000+02:00
63520.5,63604.0,63464.0,63561.86,281.32309,17871336.9541053,14880,2024-07-01 20:44:59.999000+02:00
63561.85,63730.0,63527.68,63649.99,253.81204,16156388.5862878,19305,2024-07-01 20:59:59.999000+02:00
63649.99,63649.99,63470.32,63529.07,193.26325,12280190.0989306,14355,2024-07-01 21:14:59.999000+02:00
63529.07,63533.99,63353.89,63392.07,212.78768,13500203.8210109,13196,2024-07-01 21:29:59.999000+02:00
63392.07,63411.41,63183.12,63210.01,329.57927,20857427.0293712,15688,2024-07-01 21:44:59.999000+02:00
63210.01,63345.52,63071.36,63226.78,524.75766,33150081.3020944,26284,2024-07-01 21:59:59.999000+02:00
63226.78,63330.0,63162.06,63295.22,243.0029,15371127.937875,12948,2024-07-01 22:14:59.999000+02:00
63295.21,63423.48,63295.21,63348.01,121.18104,7678528.2187325,9679,2024-07-01 22:29:59.999000+02:00
63348.01,63380.0,63290.0,63302.09,87.61196,5548587.0761019,6287,2024-07-01 22:44:59.999000+02:00
63302.08,63344.59,63292.52,63292.53,91.51106,5794366.8506491,4655,2024-07-01 22:59:59.999000+02:00
63292.53,63292.53,63230.0,63230.01,84.45923,5343202.7899562,4272,2024-07-01 23:14:59.999000+02:00
63230.01,63230.01,63111.25,63138.0,95.65585,6043458.5977813,5178,2024-07-01 23:29:59.999000+02:00
63138.0,63179.47,63104.07,63179.47,62.86055,3968434.5738173,6856,2024-07-01 23:44:59.999000+02:00
63179.47,63198.26,63036.82,63130.01,99.54947,6282925.2399935,8818,2024-07-01 23:59:59.999000+02:00
63130.01,63162.5,63019.38,63058.0,127.64697,8054529.9151577,8421,2024-07-02 00:14:59.999000+02:00
63058.0,63123.73,62804.6,62881.34,294.55463,18536333.0280175,19061,2024-07-02 00:29:59.999000+02:00
62881.35,62929.53,62820.22,62911.99,103.96305,6536581.5523417,7727,2024-07-02 00:44:59.999000+02:00
62911.98,63020.0,62911.98,62975.1,132.59964,8349909.686353,7392,2024-07-02 00:59:59.999000+02:00
62975.1,63037.18,62970.0,62997.53,111.679,7036226.5662952,6690,2024-07-02 01:14:59.999000+02:00
62997.53,63001.12,62849.7,62849.71,155.86404,9805316.3745647,8869,2024-07-02 01:29:59.999000+02:00
62849.7,62920.0,62834.0,62915.83,101.83908,6402664.8688866,6634,2024-07-02 01:44:59.999000+02:00
62915.83,62934.81,62864.0,62899.99,85.15624,5355928.6775915,4130,2024-07-02 01:59:59.999000+02:00
62900.0,62971.05,62850.06,62858.02,105.08391,6610464.4036608,11432,2024-07-02 02:14:59.999000+02:00
62858.02,62988.0,62787.42,62988.0,129.72163,8157568.6056237,13258,2024-07-02 02:29:59.999000+02:00
62988.0,62988.0,62864.0,62871.23,87.24164,5490350.9599172,8747,2024-07-02 02:44:59.999000+02:00
62871.24,62974.23,62864.3,62926.65,73.60619,4631435.8792169,8369,2024-07-02 02:59:59.999000+02:00
62926.65,62960.86,62852.39,62927.99,86.07708,5414556.0399848,8629,2024-07-02 03:14:59.999000+02:00
62928.0,62955.85,62865.7,62889.81,71.87466,4521271.356578,7335,2024-07-02 03:29:59.999000+02:00
62889.81,62937.0,62815.71,62854.0,88.30125,5551629.2940152,8045,2024-07-02 03:44:59.999000+02:00
62854.0,62939.99,62853.99,62926.0,53.03634,3336072.0509906,5650,2024-07-02 03:59:59.999000+02:00
62926.0,63107.82,62924.0,63089.12,97.97012,6173203.7816609,8594,2024-07-02 04:14:59.999000+02:00
63089.13,63127.1,63011.97,63030.06,122.91994,7751670.6893875,9554,2024-07-02 04:29:59.999000+02:00
63030.06,63093.37,62950.0,62978.02,172.23685,10855716.3792529,7828,2024-07-02 04:44:59.999000+02:00
62978.02,63017.49,62968.85,62999.56,121.34155,7643354.0604593,9289,2024-07-02 04:59:59.999000+02:00
62999.56,63065.0,62991.03,63036.2,93.37002,5886016.7521182,9245,2024-07-02 05:14:59.999000+02:00
63036.21,63174.0,63005.41,63168.0,117.67981,7424790.7641987,10029,2024-07-02 05:29:59.999000+02:00
63168.01,63288.83,63144.71,63222.01,136.77634,8645939.8097545,14023,2024-07-02 05:44:59.999000+02:00
63222.01,63227.31,63122.01,63138.67,121.68065,7685318.1474864,8254,2024-07-02 05:59:59.999000+02:00
63138.68,63209.39,63120.0,63209.38,113.42948,7165450.2887449,8972,2024-07-02 06:14:59.999000+02:00
63209.38,63245.8,63140.78,63148.02,112.11104,7085130.6981587,9766,2024-07-02 06:29:59.999000+02:00
